Rank,Name,basename,Genre,ESRB_Rating,Platform,Publisher,Developer,VGChartz_Score,Critic_Score,User_Score,Total_Shipped,Global_Sales,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Year,Last_Update,url,status,Vgchartzscore,img_url,Global_Total
8886,Yoga: The first 100% Experience,yoga-the-first-100-experience,Sports,E,Wii,DreamCatcher Interactive,Trine Games,,,,0.0,0.2,0.14,0.04,,0.02,2009.0,04th Jan 18,http://www.vgchartz.com/game/39909/yoga-the-first-100-experience/?region=All,1,,/games/boxart/full_6818495AmericaFrontccc.jpg,0.2
8887,Playboy: The Mansion,playboy-the-mansion,Simulation,M,PS2,ARUSH Entertainment,Cyberlore Studios,,,,0.0,0.2,0.1,0.08,,0.03,2005.0,,http://www.vgchartz.com/game/5586/playboy-the-mansion/?region=All,1,,/games/boxart/9609956ccc.jpg,0.2
8888,X-Men Origins: Wolverine,x-men-origins-wolverine,Action,E10,DS,Activision,Griptonite Games,,,,0.0,0.2,0.15,0.03,,0.02,2009.0,,http://www.vgchartz.com/game/32526/x-men-origins-wolverine/?region=All,1,,/games/boxart/full_7759335AmericaFrontccc.jpg,0.2
8889,Jikkyou Powerful Pro Yakyuu 2010,jikkyou-powerful-pro-yakyuu-2010,Sports,,PSP,Konami,PawaPuro Production,,,,0.0,0.2,,,0.2,,2010.0,,http://www.vgchartz.com/game/42486/jikkyou-powerful-pro-yakyuu-2010/?region=All,1,,/games/boxart/full_5329910JapanFrontccc.jpg,0.2
8890,Life is Feudal: Forest Village,life-is-feudal-forest-village,Simulation,,PC,Unknown,Mindillusion,,,,0.2,0.0,,,,,2010.0,27th Feb 19,http://www.vgchartz.com/game/223744/life-is-feudal-forest-village/?region=All,1,,/games/boxart/full_2451611AmericaFrontccc.jpg,0.2
8891,Tom Clancy's Splinter Cell: Essentials,tom-clancys-splinter-cell-essentials,Shooter,M,PSP,Ubisoft,Ubisoft Montreal,,5.6,,0.0,0.2,0.17,0.01,,0.02,2006.0,,http://www.vgchartz.com/game/2470/tom-clancys-splinter-cell-essentials/?region=All,1,,/games/boxart/3271353ccc.jpg,0.2
8892,Agents of Mayhem,agents-of-mayhem,Action,M,PS4,Deep Silver,Volition Inc.,,,,0.0,0.2,0.08,0.08,,0.03,2017.0,24th Jun 18,http://www.vgchartz.com/game/117550/agents-of-mayhem/?region=All,1,,/games/boxart/full_1502404AmericaFrontccc.jpg,0.2
8893,Ore no Shikabane o Koete Yuke,ore-no-shikabane-o-koete-yuke,Role-Playing,,PSP,Sony Computer Entertainment,TBA,,,,0.0,0.2,,,0.2,,2011.0,,http://www.vgchartz.com/game/50725/ore-no-shikabane-o-koete-yuke/?region=All,1,,/games/boxart/full_ore-no-shikabane-o-koete-yuke_184JapanFront.jpg,0.2
8894,Captain America: Super Soldier,captain-america-super-soldier,Action,T,PS3,Sega,Next Level Games,,6.2,,0.0,0.2,0.1,0.07,,0.03,2011.0,,http://www.vgchartz.com/game/47796/captain-america-super-soldier/?region=All,1,,/games/boxart/full_captain-america-super-soldier_784AmericaFront.jpg,0.2
8895,Shaman King: Spirit of Shamans,shaman-king-spirit-of-shamans,Action,,PS,Bandai,Bandai,,,,0.0,0.2,,,0.18,0.01,2002.0,,http://www.vgchartz.com/game/4293/shaman-king-spirit-of-shamans/?region=All,1,,/games/boxart/full_shaman-king-spirit-of-shaman_9JapanFront.jpg,0.2
