Rank,Name,basename,Genre,ESRB_Rating,Platform,Publisher,Developer,VGChartz_Score,Critic_Score,User_Score,Total_Shipped,Global_Sales,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Year,Last_Update,url,status,Vgchartzscore,img_url,Global_Total
3867,SimCity DS,simcity-ds,Simulation,E,DS,Electronic Arts,Aki Corporation,,,,0.0,0.6,0.33,0.03,0.21,0.03,2007.0,,http://www.vgchartz.com/game/4321/simcity-ds/?region=All,1,,/games/boxart/full_7485775AmericaFrontccc.jpg,0.6
3868,Front Mission,front-mission,Strategy,,SNES,Square,G-Craft,,,,0.0,0.6,,,0.6,,1995.0,,http://www.vgchartz.com/game/3359/front-mission/?region=All,1,,/games/boxart/full_6982018JapanFrontccc.jpg,0.6
3869,Lucius,lucius,Action,,PC,Lace Mamba Global,Shiver Games,,,,0.6,0.0,,,,,2012.0,,http://www.vgchartz.com/game/63634/lucius/?region=All,1,,/games/boxart/full_lucius_892AmericaFront.jpg,0.6
3870,Gravity Rush,gravity-rush,Action-Adventure,T,PSV,Sony Computer Entertainment,SCE Japan Studio,,,,0.0,0.6,0.21,0.2,0.09,0.1,2012.0,20th Apr 18,http://www.vgchartz.com/game/70531/gravity-rush/?region=All,1,,/games/boxart/full_4536234AmericaFrontccc.jpg,0.6
3871,Major League Baseball 2K7,major-league-baseball-2k7,Sports,E,PS2,2K Sports,Kush Games,,,,0.0,0.6,0.29,0.23,,0.08,2007.0,,http://www.vgchartz.com/game/6089/major-league-baseball-2k7/?region=All,1,,/games/boxart/3210066ccc.jpg,0.6
3872,Black Mesa,black-mesa,Shooter,,PC,Valve Corporation,Black Mesa Team,,,,0.6,0.0,,,,,2012.0,,http://www.vgchartz.com/game/43006/black-mesa/?region=All,1,,/games/boxart/full_2486426AmericaFrontccc.jpg,0.6
3873,Dai-2-Ji Super Robot Taisen Î±,dai-2-ji-super-robot-taisen-amp945,Strategy,,PS2,Banpresto,Banpresto,,,,0.0,0.6,,,0.6,,2003.0,,http://www.vgchartz.com/game/4466/dai-2-ji-super-robot-taisen-amp945/?region=All,1,,/games/boxart/full_3163444JapanFrontccc.jpg,0.6
3874,PGR3 - Project Gotham Racing 3,pgr3-project-gotham-racing-3,Racing,E10,X360,Microsoft Game Studios,Bizarre Creations,,8.8,,0.0,0.6,0.49,0.03,0.03,0.05,2005.0,,http://www.vgchartz.com/game/4118/pgr3-project-gotham-racing-3/?region=All,1,,/games/boxart/full_8981935AmericaFrontccc.jpg,0.6
3875,Littlest Pet Shop: Jungle,littlest-pet-shop-jungle,Simulation,E,DS,Electronic Arts,EA Salt Lake,,,,0.0,0.6,0.34,0.2,,0.06,2008.0,,http://www.vgchartz.com/game/25394/littlest-pet-shop-jungle/?region=All,1,,/games/boxart/4085964ccc.jpg,0.6
3876,Hyper Light Drifter,hyper-light-drifter,Role-Playing,,PC,Rebellion Games,Rebellion Games,,,,0.6,0.0,,,,,2016.0,,http://www.vgchartz.com/game/83003/hyper-light-drifter/?region=All,1,,/games/boxart/full_5458802AmericaFrontccc.jpg,0.6
3877,NHL 11,nhl-11,Sports,E10,PS3,EA Sports,EA Canada,,8.8,,0.0,0.59,0.4,0.13,,0.07,2010.0,,http://www.vgchartz.com/game/47193/nhl-11/?region=All,1,,/games/boxart/full_nhl-11_3AmericaFront.jpg,0.59
3878,Hot Wheels: Stunt Track Challenge,hot-wheels-stunt-track-challenge,Racing,E,PS2,THQ,Climax Group,,,,0.0,0.59,0.29,0.23,,0.08,2004.0,,http://www.vgchartz.com/game/5199/hot-wheels-stunt-track-challenge/?region=All,1,,/games/boxart/1566378ccc.jpg,0.59
3879,Dai-3-Ji Super Robot Taisen Î±: Shuuen no Ginga e,dai-3-ji-super-robot-taisen-amp945-shuuen-no-ginga-e,Strategy,,PS2,Banpresto,Banpresto,,,,0.0,0.59,,,0.59,,2005.0,,http://www.vgchartz.com/game/4539/dai-3-ji-super-robot-taisen-amp945-shuuen-no-ginga-e/?region=All,1,,/games/boxart/full_8340366JapanFrontccc.jpg,0.59
3880,Monopoly,monopoly,Misc,E,X360,Electronic Arts,EA Bright Light,,,,0.0,0.59,0.34,0.2,,0.06,2008.0,,http://www.vgchartz.com/game/26402/monopoly/?region=All,1,,/games/boxart/full_monopoly_1AmericaFront.jpg,0.59
3881,Jikkyou Powerful Pro Yakyuu '97 Kaimakuban,jikkyou-powerful-pro-yakyuu-97-kaimakuban,Sports,,PS,Konami,Diamond Head,,,,0.0,0.59,,,0.56,0.04,1997.0,,http://www.vgchartz.com/game/4082/jikkyou-powerful-pro-yakyuu-97-kaimakuban/?region=All,1,,/games/boxart/full_4952493JapanFrontccc.jpg,0.59
